                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                 1.1022,                 1.0357,                 1.6985,                0.85569,                0.76684,                0.81902,                0.53274,                 1.2687,                0.93819,                 1.8231,              0.0005743,              0.0005743,              0.0005743
                    132,                 1.0832,                 1.0175,                 1.7002,                0.82922,                0.72958,                0.80287,                0.49479,                 1.2802,                  1.083,                 1.8138,               0.000571,               0.000571,               0.000571
                    133,                 1.1097,                 1.0184,                 1.7098,                0.86979,                0.75648,                 0.8298,                0.54653,                 1.2371,                0.92543,                 1.8029,              0.0005677,              0.0005677,              0.0005677
                    134,                 1.0975,                 1.0164,                 1.6948,                 0.9011,                0.74611,                0.82574,                0.53596,                 1.2456,                0.93954,                 1.8003,              0.0005644,              0.0005644,              0.0005644
                    135,                 1.1089,                  1.018,                 1.7021,                 0.9099,                0.74611,                0.81913,                0.52231,                 1.2584,                0.95507,                 1.8377,              0.0005611,              0.0005611,              0.0005611
                    136,                 1.1143,                 1.0199,                 1.6992,                0.85844,                0.75411,                0.81879,                 0.5314,                 1.2886,                0.92962,                 1.8356,              0.0005578,              0.0005578,              0.0005578
                    137,                 1.0881,                 1.0031,                 1.6811,                0.91202,                0.70466,                0.81271,                0.51591,                 1.2669,                0.95642,                 1.8278,              0.0005545,              0.0005545,              0.0005545
                    138,                  1.067,                 1.0062,                 1.6772,                0.85508,                0.73371,                0.82885,                0.54627,                 1.2316,                0.93902,                 1.7875,              0.0005512,              0.0005512,              0.0005512
                    139,                 1.0742,                 1.0014,                  1.675,                0.85616,                0.75648,                0.83273,                0.53634,                 1.2407,                0.93931,                 1.7936,              0.0005479,              0.0005479,              0.0005479
                    140,                 1.0668,                 1.0105,                 1.6795,                0.86848,                0.75648,                0.82082,                0.52861,                 1.2668,                0.95476,                 1.8365,              0.0005446,              0.0005446,              0.0005446
                    141,                 1.0539,                0.98645,                 1.6511,                0.88186,                0.76684,                0.84479,                0.54756,                 1.2691,                0.92784,                 1.8139,              0.0005413,              0.0005413,              0.0005413
                    142,                 1.0989,                 1.0084,                 1.6971,                0.79719,                0.77392,                0.80687,                0.51268,                 1.2979,                 1.0345,                 1.8155,               0.000538,               0.000538,               0.000538
                    143,                  1.073,                0.97615,                 1.6728,                0.90455,                0.71503,                0.82129,                0.51961,                 1.3276,                0.97505,                 1.8507,              0.0005347,              0.0005347,              0.0005347
                    144,                 1.0758,                0.97527,                 1.6767,                0.84744,                0.76684,                0.82838,                0.54404,                 1.2408,                0.90553,                 1.8022,              0.0005314,              0.0005314,              0.0005314
                    145,                 1.0798,                0.96722,                 1.6808,                0.91606,                0.73514,                0.82756,                0.54194,                 1.2603,                0.95454,                 1.8078,              0.0005281,              0.0005281,              0.0005281
                    146,                 1.1143,                  1.021,                 1.6866,                0.86596,                0.76989,                0.83958,                   0.54,                 1.2632,                 0.9374,                 1.8137,              0.0005248,              0.0005248,              0.0005248
